text,label
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
